Program,Calendar_Year,Requirement,Required_Total,Rule,Bucket,Course_Code,Course_Title,Helps_Fulfill_Option
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 301,Building Enclosure Systems,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 315,Building Structural Systems,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 405,Building Performance Measurement Lab,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 450,Building Service Systems,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 495,Design Intensive Special Topics in Architectural Engineering,Architectural Engineering TE (List 1)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 572,Building Energy Analysis,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 573,"HVAC Systems, Equipment, and Energy Efficiency",Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ARCH 570,Special Topics in Building Technology and Environmental,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ME 452,HVAC Load Analysis and Design Fundamentals,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ME 572,Building Energy Analysis,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ME 573,"HVAC Systems, Equipment, and Energy Efficiency",Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),ARCH 463,Integrated Environmental Systems,Design-Intensive (List 2)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 413,Structural Steel Design,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 414,Structural Concrete Design,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 415,Structural System Design,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 460,Engineering Biomechanics,Design-Intensive (List 2)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 495,Design Intensive Special Topics in Civil Engineering,Design-Intensive (List 2)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 512,Rehabilitation of Structures,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 596,Construction Engineering,Construction
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),ME 574,Engineering Biomechanics,Design-Intensive (List 2)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 3 (Engineering TEs),AE 497,Special Topics in Architectural Engineering,Engineering TE (List 3)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 3 (Engineering TEs),CIVE 422,Finite Element Analysis,Engineering TE (List 3)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 3 (Engineering TEs),CIVE 484,Physical Infrastructure Planning,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 3 (Engineering TEs),CIVE 497,Special Topics in Civil Engineering,Engineering TE (List 3)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 3 (Engineering TEs),CIVE 505,Structural Dynamics,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 3 (Engineering TEs),PLAN 484,Physical Infrastructure Planning,Structures
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 499,Elective Biomedical Research Project,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 540,Fundamentals in Neural and Rehabilitation Engineering,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 544,Biomedical Measurement and Signal Processing,Signals & Imaging
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 550,Sports Engineering,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 551,Biomechanics of Human Movement,Biomechanics
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 552,Computational Biomechanics,Biomechanics
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 553,Introductory Mechanics of Biomedical and Biological Materials,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 561,Biomaterials and Tissue Engineering,Biomaterials & Tissue
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 564,Biocompatibility and Biomedical Design,Biomaterials & Tissue
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 581,Ultrasound in Medicine and Biology,Signals & Imaging
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 582,Biomedical Optics,Signals & Imaging
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 587,Special Topics in Biomedical Signals,Signals & Imaging
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 588,Special Topics in Biomechanics,Biomechanics
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,BME 589,Special Topics in Biomedical Devices,Devices & Micro/Nano
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,CIVE 460,Engineering Biomechanics,Biomechanics
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 224,Embedded Microprocessor Systems,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 252,Systems Programming and Concurrency,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 350,Real-Time Operating Systems,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 356,Database Systems,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 358,Computer Networks,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 406,Algorithm Design and Analysis,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 457B,Fundamentals of Computational Intelligence,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 459,Programming for Performance,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ECE 484,Digital Control Applications,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,ME 574,Engineering Biomechanics,Biomechanics
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MSE 343,Human-Computer Interaction,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MSE 432,Production and Service Operations Management,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MSE 446,Introduction to Machine Learning,Computational/ML
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MSE 555,Scheduling: Theory and Practice,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MTE 241,Introduction to Computer Structures and Real-Time Systems,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MTE 325,Microprocessor Systems and Interfacing for Mechatronics Engineering,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MTE 544,Autonomous Mobile Robots,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,MTE 545,Introduction to MEMS Fabrication,Devices & Micro/Nano
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,NE 466,Tactile Sensors and Transducers,Devices & Micro/Nano
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,NE 481,Nanomedicine and Nanobiotechnology,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,NE 486,Biosensors,Devices & Micro/Nano
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,NE 487,Microfluidic and Nanobiotechnological Systems,Devices & Micro/Nano
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 322,Software Design,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 334,Applied Statistics,Societal & Environmental Systems
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 522,Foundations of Artificial Intelligence,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 531,Design Optimization Under Probabilistic Uncertainty,Intelligent Systems
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 532,Introduction to Complex Systems,Societal & Environmental Systems
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 533,Conflict Resolution,Societal & Environmental Systems
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 537,Artificial Life: Biology and Computation,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 542,Interface Design,Human Systems Engineering
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 543,Cognitive Ergonomics,Human Systems Engineering
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 548,User Centred Design Methods,Human Systems Engineering
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 552,Computational Neuroscience,Intelligent Systems
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 553,Advanced Dynamics,Biomechanics
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 556,Simulating Neurobiological Systems,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 572,Introduction to Pattern Recognition,Intelligent Systems
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 575,Image Processing,Intelligent Systems
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 577,Deep Learning,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 586,Material Selection for Design,General BME TE
Biomedical Engineering,2023-2024,Technical Electives,6,"Complete 6 TEs from the list. CEAB planners required (2B/3A approval, 4A graduation).",Technical Electives,SYDE 599,Special Topics in Systems Design Engineering,General BME TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 500,Special Topics in Chemical Engineering,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 514,Fundamentals of Petroleum Production,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 516,Energy Systems Engineering,Energy
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 520,Process Modelling and Simulation,Process Control & Systems
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 521,Process Optimization,Process Control & Systems
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 522,Advanced Process Dynamics and Control,Process Control & Systems
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 524,Process Control Laboratory,Process Control & Systems
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 541,Introduction to Polymer Science and Properties,Polymers & Materials
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 543,Polymer Production: Polymer Reaction Engineering,Polymers & Materials
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 560,Nanomedicine and Nanobiotechnology,Bioprocess & Bioengineering
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 561,Biomaterials and Tissue Engineering,Polymers & Materials
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 562,Advanced Bioprocess Engineering,Process Control & Systems
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 564,Food Process Engineering,Process Control & Systems
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 565,Synthetic Biology Project Design,Bioprocess & Bioengineering
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 571,Industrial Ecology,Environment & Sustainability
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 572,Air Pollution Control,Environment & Sustainability
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 1,CHE 574,Industrial Wastewater Pollution Control,Environment & Sustainability
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,CHE 499,Elective Research Project,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,EARTH 456,Numerical Methods in Hydrogeology,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,EARTH 458,Physical Hydrogeology,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,EARTH 459,Chemical Hydrogeology,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ENVE 376,Biological Processes,Process Control & Systems
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ENVE 573,Contaminant Transport,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ENVE 577,Engineering for Solid Waste Management,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 362,Fluid Mechanics 2,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 435,Industrial Metallurgy,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 452,HVAC Load Analysis and Design Fundamentals,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 459,Energy Conversion,Energy
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 531,Physical Metallurgy Applied to Manufacturing,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 533,Non-Metallic and Composite Materials,Polymers & Materials
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 559,Finite Element Methods,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 566,Computational Fluid Dynamics for Engineering Design,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,ME 571,Clean Air Technologies,General Chemical TE
Chemical Engineering,2023-2024,Technical Electives,4,Complete 4 TEs: 2 from List 1; 2 additional from List 1 or List 2.,List 2,MSE 332,Deterministic Optimization Models and Methods,General Chemical TE
